id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,10032011.0,199706942842755,1,199706942842755,2151312206846.0,10114470.0,10006578.0,-76360.23700166494,-0.75542,-1507990897593.0938,-0.74944,19910706.0,19910706.0,21000000.0,10855066.0,-7.59593,2025-08-14T00:37:02.582Z,3993.42,251076.30115,2013-07-05T00:00:00.000Z,,2025-08-24T07:23:00.678Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,416091.0,50197377039194,2,50197377039194,1928078244099.0,419732.0,410676.0,2814.72,0.68107,236327126144.0,0.47302,120707167.2356946,120707167.2356946,,425918.0,-2.36363,2025-08-22T21:32:23.324Z,28.13,1478152.81713,2015-10-20T00:00:00.000Z,"{'times': 54.45642556744698, 'currency': 'btc', 'percentage': 5445.642556744698}",2025-08-24T07:22:58.862Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,265.0,15762045479124,3,26494973840472,297711438200.0,268.81,262.99,-2.579146629648619,-0.96387,-139904552342.11914,-0.87979,59482264023.0,99985819185.0,100000000000.0,313.99,-15.58981,2025-07-21T15:02:00.541Z,0.159343,166231.22704,2013-08-16T00:00:00.000Z,,2025-08-24T07:23:01.474Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,87.3,14592780911017,4,14592780911017,5138114961421.0,87.31,87.29,0.01299826,0.01489,2274570881.0,0.01559,167150540381.1566,167150540381.1566,,105.52,-17.26095,2025-01-25T16:51:57.989Z,36.86,136.85883,2015-03-02T00:00:00.000Z,,2025-08-24T07:22:50.887Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,76144.0,10607973895305,5,10607973895305,112961716530.0,78111.0,76079.0,-1574.369324064537,-2.02574,-216314633145.51953,-1.99842,139287374.49,139287374.49,200000000.0,78577.0,-3.09609,2025-08-22T23:42:55.728Z,2.58,2945823.28485,2017-10-19T00:00:00.000Z,,2025-08-24T07:23:01.459Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,18121.3,9799126271512,6,11027561502030,627318267270.0,18413.62,17545.3,90.68,0.50292,46462067675.0,0.4764,540438275.0253805,608188541.5865889,,25396.0,-28.64345,2025-01-19T11:15:27.957Z,38.03,47557.07969,2020-05-11T19:35:23.449Z,,2025-08-24T07:23:01.452Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,87.31,5897387963730,7,5897529432197,500511507232.0,87.32,87.3,-4.9421270063021e-05,-6e-05,-2886331474.930664,-0.04892,67544611103.78062,67546231385.96167,,1327.87,-93.4246,2025-01-23T04:45:51.184Z,65.31,33.69424,2021-05-19T13:14:05.611Z,,2025-08-24T07:22:56.420Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,414835.0,3635928217930,8,3635928217930,2703725014.0,419120.0,409336.0,2578.32,0.62542,18140907341.0,0.50144,8764754.535663862,8764754.535663862,,424521.0,-2.30754,2025-08-22T21:32:26.423Z,35697.0,1061.79499,2020-12-22T04:08:21.854Z,,2025-08-24T07:23:01.214Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,20.31,3058057014718,9,3059362418185,153097870458.0,20.86,20.28,-0.4983227555033558,-2.39437,-81248930897.30371,-2.58812,150583256383.7052,150647536383.7052,,53.62,-62.12107,2021-05-08T05:08:23.458Z,0.00552883,367243.72875,2015-05-06T00:00:00.000Z,,2025-08-24T07:23:01.345Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,31.9,3019894249469,10,3019914666981,59342596891.0,31.9,31.46,0.354227,1.12289,32819526934.0,1.09872,94668339639.89952,94668979692.77742,,36.53,-12.66934,2024-12-04T00:10:40.323Z,0.117589,27026.56522,2017-11-12T00:00:00.000Z,"{'times': 191.25458643717826, 'currency': 'usd', 'percentage': 19125.458643717826}",2025-08-24T07:23:01.350Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,79.1,2884578513743,11,3558881837973,115696912831.0,81.24,78.95,-2.138215139376598,-2.63212,-86554116202.5586,-2.91317,36473824933.83167,45000000000.0,45000000000.0,225.26,-64.90574,2021-09-02T06:00:10.474Z,1.38,5647.65074,2017-11-02T00:00:00.000Z,,2025-08-24T07:22:50.698Z
